Ngày quay xổ số,Giờ xổ số,Miền,Tỉnh,G8,G7,G6,G5,G4,G3,G2,G1,ĐB,draw_date,draw_time
04/12,18:30,Miền Bắc,Rỗng,,"70, 32, 50, 04","479, 435, 895","2140, 5531, 9138, 0466, 9379","6906, 0875, 3634, 0786","55484, 71800, 93477, 78700, 15479","47228, 16867",56378,34086,2024-12-05,16:02:40
04/12,16:15,Miền Nam,Đồng Nai,92,737,"7271, 7050, 3315",3243,"84011, 59127, 47034, 85659, 55730, 92637, 95242","76609, 81615",55469,79399,711691,2024-12-05,16:02:40
04/12,16:15,Miền Nam,Cần Thơ,63,715,"5249, 7506, 1255",3368,"82708, 81767, 39259, 17453, 00094, 51962, 18485","18346, 14117",30366,10911,565797,2024-12-05,16:02:40
04/12,16:15,Miền Nam,Sóc Trăng,05,464,"9950, 5605, 4462",4661,"33425, 85082, 54394, 38412, 52953, 29844, 45810","59967, 36542",66099,54182,932312,2024-12-05,16:02:40
04/12,17:15,Miền Trung,Đà Nẵng,79,450,"3370, 8331, 6094",7006,"99532, 06299, 27041, 15214, 84449, 18286, 29841","95280, 85745",34801,89077,894937,2024-12-05,16:02:40
04/12,17:15,Miền Trung,Khánh Hòa,07,429,"8808, 0188, 3330",1826,"99698, 29084, 50017, 95497, 29641, 08384, 55359","75398, 04110",30396,98981,889586,2024-12-05,16:02:40
