Ngày quay xổ số,Giờ xổ số,Miền,Tỉnh,G8,G7,G6,G5,G4,G3,G2,G1,ĐB,draw_date,draw_time
02/12,18:30,Miền Bắc,Rỗng,,"89, 06, 05, 30","460, 290, 143","7460, 4284, 8370, 8923, 8861","2779, 1967, 8467, 1875","50572, 76761, 66704, 44095, 77897","15362, 03313",64347,83662,2024-12-03,15:32:17
02/12,16:15,Miền Nam,TP.HCM,32,190,"0089, 2755, 0182",3412,"72877, 60323, 07267, 46542, 85866, 74394, 15968","40622, 70861",15531,69509,340805,2024-12-03,15:32:17
02/12,16:15,Miền Nam,Đồng Tháp,10,190,"7892, 9256, 5060",7902,"14646, 30989, 01331, 91543, 98644, 38653, 95282","60243, 06547",89133,74427,728636,2024-12-03,15:32:17
02/12,16:15,Miền Nam,Cà Mau,65,371,"5018, 3194, 9968",5672,"99214, 56043, 32467, 17278, 16965, 19644, 06135","47697, 73323",58495,91549,491288,2024-12-03,15:32:17
02/12,17:15,Miền Trung,Thừa Thiên Huế,51,050,"0218, 6359, 8404",4129,"13934, 54623, 88999, 87177, 91871, 98477, 53088","54445, 16198",23438,78830,229734,2024-12-03,15:32:17
02/12,17:15,Miền Trung,Phú Yên,07,349,"0551, 1792, 3674",1499,"60469, 60108, 60303, 51470, 54658, 26391, 27979","27818, 98745",83196,38943,910758,2024-12-03,15:32:17
