Ngày quay xổ số,Giờ xổ số,Miền,Tỉnh,G8,G7,G6,G5,G4,G3,G2,G1,ĐB,draw_date,draw_time
06/12,18:30,Miền Bắc,Rỗng,,"95, 77, 83, 36","668, 298, 158","5805, 6299, 8850, 5367, 2024","6634, 7146, 0487, 1252","32648, 75950, 59373, 37321, 89604","12859, 78159",59594,60351,2024-12-07,09:06:20
06/12,16:15,Miền Nam,Vĩnh Long,56,695,"4466, 2212, 4408",5866,"34121, 57777, 18321, 84025, 18166, 30579, 86337","82337, 82356",88133,94501,585338,2024-12-07,09:06:20
06/12,16:15,Miền Nam,Bình Dương,74,582,"0236, 7415, 3647",7323,"72035, 03233, 46956, 38797, 07683, 26362, 27189","88646, 88785",44676,16213,664632,2024-12-07,09:06:20
06/12,16:15,Miền Nam,Trà Vinh,31,701,"5848, 3068, 2009",4783,"97711, 65675, 64373, 84881, 15112, 58386, 81514","79536, 43209",96962,68002,540348,2024-12-07,09:06:20
06/12,17:15,Miền Trung,Gia Lai,24,677,"5228, 7223, 9964",5412,"13733, 57754, 21467, 80888, 79670, 36728, 02527","32117, 49117",85151,93774,601976,2024-12-07,09:06:20
06/12,17:15,Miền Trung,Ninh Thuận,03,002,"4295, 4969, 6592",9343,"52903, 43399, 66132, 65138, 60649, 71239, 42095","17977, 01098",25587,25914,817558,2024-12-07,09:06:20
