Ngày quay xổ số,Giờ xổ số,Miền,Tỉnh,G8,G7,G6,G5,G4,G3,G2,G1,ĐB,draw_date,draw_time
01/12,18:30,Miền Bắc,Rỗng,,"59, 28, 39, 55","282, 121, 772","7494, 3723, 5978, 0609, 8373","4560, 7943, 1461, 4194","58339, 26595, 46931, 25712, 14804","55402, 90127",50844,24735,2024-12-02,15:50:52
01/12,16:15,Miền Nam,Tiền Giang,03,331,"8933, 4968, 1228",0726,"76116, 12719, 35412, 37520, 04833, 54111, 04905","26366, 66190",72924,54260,310354,2024-12-02,15:50:52
01/12,16:15,Miền Nam,Kiên Giang,03,238,"6312, 8909, 3691",3398,"91660, 26288, 35391, 23568, 74753, 05563, 79965","77553, 00901",40763,36775,066278,2024-12-02,15:50:52
01/12,16:15,Miền Nam,Đà Lạt,53,865,"6504, 6518, 1382",4866,"02811, 45651, 90422, 62148, 23617, 25827, 52054","05133, 95754",56741,60484,174941,2024-12-02,15:50:52
01/12,17:15,Miền Trung,Khánh Hòa,81,140,"9845, 0147, 6053",4598,"62372, 28172, 79718, 65625, 12186, 65583, 12136","80188, 64678",11214,94347,139966,2024-12-02,15:50:52
01/12,17:15,Miền Trung,Kon Tum,46,625,"4599, 5065, 3015",8075,"31093, 09526, 29959, 76413, 75187, 42382, 40775","88181, 62950",91246,53298,303033,2024-12-02,15:50:52
01/12,17:15,Miền Trung,Thừa Thiên Huế,58,467,"7567, 4195, 7059",4456,"41093, 46051, 57371, 45199, 43940, 88133, 11120","63468, 30008",27550,08230,963226,2024-12-02,15:50:52
