Ngày quay xổ số,Giờ xổ số,Miền,Tỉnh,G8,G7,G6,G5,G4,G3,G2,G1,ĐB,draw_date,draw_time
04/12,18:30,Miền Bắc,Rỗng,,"26, 86, 20, 99","921, 200, 785","6801, 6798, 0484, 8093, 8734","8351, 9757, 2570, 4230","94675, 35509, 56840, 35270, 85399","18015, 49463",31498,67746,2024-12-04,16:41:52
04/12,16:15,Miền Nam,Đồng Nai,92,737,"7271, 7050, 3315",3243,"84011, 59127, 47034, 85659, 55730, 92637, 95242","76609, 81615",55469,79399,711691,2024-12-04,16:41:52
04/12,16:15,Miền Nam,Cần Thơ,63,715,"5249, 7506, 1255",3368,"82708, 81767, 39259, 17453, 00094, 51962, 18485","18346, 14117",30366,10911,565797,2024-12-04,16:41:52
04/12,16:15,Miền Nam,Sóc Trăng,05,464,"9950, 5605, 4462",4661,"33425, 85082, 54394, 38412, 52953, 29844, 45810","59967, 36542",66099,54182,932312,2024-12-04,16:41:52
04/12,17:15,Miền Trung,Đắc Lắc,12,600,"4600, 9182, 7546",0618,"93379, 79816, 50535, 21705, 87105, 09600, 13490","91057, 43011",85554,88264,634513,2024-12-04,16:41:52
04/12,17:15,Miền Trung,Quảng Nam,78,068,"8909, 1805, 5522",2917,"75605, 15275, 06916, 49983, 90361, 57101, 74737","14366, 27800",72905,94907,456532,2024-12-04,16:41:52
