Ngày quay xổ số,Giờ xổ số,Miền,Tỉnh,G8,G7,G6,G5,G4,G3,G2,G1,ĐB,draw_date,draw_time
07/12,18:30,Miền Bắc,Rỗng,,"50, 85, 88, 22","177, 297, 891","7152, 4761, 1313, 3705, 1376","9152, 8810, 8115, 6349","36419, 13676, 38955, 73883, 22581","95915, 80941",19969,44474,2024-12-08,13:35:59
07/12,16:15,Miền Nam,TP.HCM,18,453,"6755, 1679, 7714",3691,"80662, 23085, 55894, 25346, 78032, 72477, 40982","71905, 54803",86132,15255,457881,2024-12-08,13:35:59
07/12,16:15,Miền Nam,Long An,53,212,"2138, 5200, 5456",7157,"67478, 48865, 20434, 38330, 97371, 12712, 02570","99686, 19377",00073,90466,786900,2024-12-08,13:35:59
07/12,16:15,Miền Nam,Bình Phước,89,543,"3472, 3632, 6093",6532,"71852, 85658, 97516, 94341, 94934, 09832, 43236","04043, 92254",18731,83697,148756,2024-12-08,13:35:59
07/12,16:15,Miền Nam,Hậu Giang,51,947,"2841, 7650, 2215",6788,"58940, 49320, 48733, 77503, 28288, 94577, 70520","24735, 66247",49653,28377,698229,2024-12-08,13:35:59
07/12,17:15,Miền Trung,Đà Nẵng,29,673,"8032, 3561, 6923",8268,"79993, 40108, 06745, 64261, 31849, 38740, 65887","96531, 47925",04675,52625,214943,2024-12-08,13:35:59
07/12,17:15,Miền Trung,Quảng Ngãi,99,167,"5642, 2029, 2678",0515,"67957, 99818, 77508, 21251, 60916, 96426, 74281","46169, 05550",04708,41430,515216,2024-12-08,13:35:59
07/12,17:15,Miền Trung,Đắc Nông,72,499,"8202, 4883, 5169",5153,"20157, 34656, 93027, 97510, 69920, 19929, 31313","86353, 49032",86396,40595,205902,2024-12-08,13:35:59
