Ngày quay xổ số,Giờ xổ số,Miền,Tỉnh,G8,G7,G6,G5,G4,G3,G2,G1,ĐB,draw_date,draw_time
09/12,18:30,Miền Bắc,Rỗng,,"60, 23, 03, 16","551, 657, 587","4267, 5167, 9003, 2569, 6653","6987, 3463, 6626, 1849","11194, 61738, 12966, 10252, 89737","32996, 79344",24009,28448,2024-12-10,10:55:35
09/12,16:15,Miền Nam,TP.HCM,42,812,"0327, 9959, 9008",4083,"56404, 02751, 20728, 36674, 44157, 55488, 74941","83319, 13082",11730,25714,673746,2024-12-10,10:55:35
09/12,16:15,Miền Nam,Đồng Tháp,98,422,"4512, 4884, 4734",4370,"96572, 46200, 98502, 64167, 06864, 39226, 35598","12908, 95205",99048,73322,443001,2024-12-10,10:55:35
09/12,16:15,Miền Nam,Cà Mau,75,004,"7375, 5537, 2544",4180,"35554, 52566, 99975, 15720, 33120, 02063, 74554","22224, 53816",47634,29404,082858,2024-12-10,10:55:35
09/12,17:15,Miền Trung,Thừa Thiên Huế,89,830,"8102, 2605, 0839",4204,"34767, 45175, 60838, 43252, 72982, 85331, 89477","43806, 80918",25879,40112,934314,2024-12-10,10:55:35
09/12,17:15,Miền Trung,Phú Yên,47,731,"4701, 3469, 2166",2415,"75150, 53797, 26053, 44713, 45409, 05719, 34312","56573, 14765",28278,32327,518085,2024-12-10,10:55:35
