Ngày quay xổ số,Giờ xổ số,Miền,Tỉnh,G8,G7,G6,G5,G4,G3,G2,G1,ĐB,draw_date,draw_time
11/12,18:30,Miền Bắc,Rỗng,,"02, 20, 76, 49","753, 331, 978","3151, 3614, 4795, 8462, 7636","0958, 3489, 7066, 3607","24520, 59553, 04023, 66706, 88225","78636, 83276",20307,70317,2024-12-11,18:38:12
11/12,16:15,Miền Nam,Đồng Nai,26,333,"4207, 0053, 3871",2887,"30117, 87953, 21713, 07528, 88377, 42329, 69363","73478, 17202",67405,25839,496276,2024-12-11,18:38:12
11/12,16:15,Miền Nam,Cần Thơ,07,322,"2911, 2305, 7418",7299,"81824, 31408, 75111, 90251, 25580, 80383, 84530","74649, 60341",99741,93985,389854,2024-12-11,18:38:12
11/12,16:15,Miền Nam,Sóc Trăng,43,025,"4163, 8791, 8379",5098,"38340, 22590, 79258, 94603, 61213, 01002, 46772","94025, 46563",27304,59989,739921,2024-12-11,18:38:12
11/12,17:15,Miền Trung,Đà Nẵng,67,946,"4885, 2474, 7858",5923,"67327, 27066, 99153, 25262, 15614, 18605, 64561","69327, 27753",81774,27912,393667,2024-12-11,18:38:12
11/12,17:15,Miền Trung,Khánh Hòa,88,440,"7995, 0010, 7973",8631,"32441, 40700, 80966, 96957, 32366, 87754, 81464","06079, 10015",63849,91112,261394,2024-12-11,18:38:12
